编码,名称,年份,季度,日期,ROE,净利润率,净利润同比增长率,资产负债率,现金流比率,市净率,市净率相对值,股价
sh.600000,浦发银行,2023,1,2023-05-29,0.022428,0.335905,-0.175894,0.918561,2.151022,0.361791,0.057945949530055954,7.41
sh.600004,白云机场,2023,1,2023-05-29,0.002599,0.037631,1.663373,0.351828,0.185285,1.930917,0.6571624569758027,14.06
sh.600006,东风汽车,2023,1,2023-05-29,0.0116,0.038156,-0.167351,0.524322,-0.485093,1.34591,0.18983594325690104,5.58
sh.600007,中国国贸,2023,1,2023-05-29,0.03434,0.333534,0.193827,0.281022,0.582878,2.046494,0.3408944467273402,19.23
sh.600008,首创环保,2023,1,2023-05-29,0.01151,0.099002,0.012594,0.618504,-0.057631,1.188445,0.11558865710284853,3.08
sh.600009,上海机场,2023,1,2023-05-29,-0.002511,-0.026575,0.873357,0.418154,-0.015337,2.967288,0.1367185309969287,47.11
sh.600010,包钢股份,2023,1,2023-05-29,0.005527,0.003477,-0.752638,0.58589,0.017888,1.573528,0.27810667033963715,1.83
sh.600011,华能国际,2023,1,2023-05-29,0.019061,0.037751,3.215955,0.712954,0.094048,3.357474,0.9272741316955203,10.29
sh.600012,皖通高速,2023,1,2023-05-29,0.0378,0.418022,0.18239,0.355195,0.899025,1.423533,0.771828144594079,10.63
sh.600015,华夏银行,2023,1,2023-05-29,0.018701,0.258122,0.041907,0.923411,1.560972,0.346918,0.17118883956390055,5.79
sh.600016,民生银行,2023,1,2023-05-29,0.023422,0.389471,0.036399,0.917366,6.145025,0.331495,0.12734957179401618,3.94
sh.600017,日照港,2023,1,2023-05-29,0.016084,0.12947,-0.107586,0.528389,0.266799,0.674404,0.326024250379992,3.03
sh.600018,上港集团,2023,1,2023-05-29,0.031126,0.488916,-0.348578,0.322002,0.404009,1.065406,0.007698789643021551,5.3
sh.600019,宝钢股份,2023,1,2023-05-29,0.009433,0.027752,-0.499958,0.44573,-0.067724,0.683057,0.1682893807464045,6.03
sh.600020,中原高速,2023,1,2023-05-29,0.029035,0.320633,1.73583,0.71788,0.486941,0.73071,0.5109324963416962,3.49
sh.600021,上海电力,2023,1,2023-05-29,0.015619,0.083623,1.244505,0.716089,0.127415,2.031597,0.542697666989814,11.86
sh.600022,山东钢铁,2023,1,2023-05-29,-0.014261,-0.011645,-1.323451,0.544093,-0.071895,0.715171,0.10441773323987281,1.44
sh.600023,浙能电力,2023,1,2023-05-29,0.01629,0.060131,1.039807,0.479455,-0.07261,1.106285,0.910395566035361,5.18
sh.600025,华能水电,2023,1,2023-05-29,0.011796,0.245035,0.152792,0.5713,0.730197,2.470831,0.5722811041790374,7.61
sh.600026,中远海能,2023,1,2023-05-29,0.034105,0.210842,10.177508,0.493609,0.327169,1.65322,0.3759992853239974,11.33
sh.600027,华电国际,2023,1,2023-05-29,0.018386,0.036892,1.372212,0.664314,0.076451,1.947218,0.8647212633706526,7.12
sh.600028,中国石化,2023,1,2023-05-29,0.025245,0.028893,-0.14335,0.522556,-0.023248,0.967238,0.743307101942291,6.51
sh.600029,南方航空,2023,1,2023-05-29,-0.047322,-0.050624,0.620181,0.827083,0.25864,2.92922,0.7213637101117424,6.33
sh.600030,中信证券,2023,1,2023-05-29,0.021179,0.366834,0.038987,0.817246,-0.143669,1.232542,0.10949903280216093,20.35
sh.600031,三一重工,2023,1,2023-05-29,0.023008,0.087788,-0.048636,0.576093,-0.088274,1.932848,0.027572467803987765,15.13
sh.600032,浙江新能,2023,1,2023-05-29,0.013924,0.18448,-0.310111,0.692216,0.358887,3.489947,0.5508776880712909,12.71
sh.600033,福建高速,2023,1,2023-05-29,0.021262,0.415596,0.028824,0.198248,0.42742,0.778816,0.5206603394801311,3.12
sh.600035,楚天高速,2023,1,2023-05-29,0.046208,0.481506,0.42869,0.534261,0.617148,0.835189,0.6397532217672157,4.07
sh.600036,招商银行,2023,1,2023-05-29,0.040319,0.432786,0.080338,0.905815,-0.139216,0.957933,0.07947868622062285,32.69
sh.600037,歌华有线,2023,1,2023-05-29,-0.004471,-0.111384,-1.598232,0.188914,0.166003,0.887852,0.10787131009845638,8.32
sh.600038,中直股份,2023,1,2023-05-29,0.001465,0.002803,0.599501,0.635499,0.605343,2.359044,0.08596262409966904,39.08
sh.600039,四川路桥,2023,1,2023-05-29,0.06322,0.089003,0.300646,0.764998,-0.267145,1.980016,0.5781019901089229,14.21
sh.600048,保利发展,2023,1,2023-05-29,0.0138,0.099248,0.025958,0.778535,-0.354454,0.815432,0.11663680024822212,12.94
sh.600050,中国联通,2023,1,2023-05-29,0.014563,0.053263,0.119153,0.458776,0.178579,0.975675,0.4949241933565094,4.81
sh.600051,宁波联合,2023,1,2023-05-29,0.003441,-0.002576,0.738396,0.378239,-0.285665,0.695838,0.10254855474330975,7.31
sh.600052,东望时代,2023,1,2023-05-29,-0.00459,-0.230311,0.455495,0.152042,0.393591,1.293178,0.8177899153624599,4.45
sh.600053,九鼎投资,2023,1,2023-05-29,-0.007942,-1.518468,-1.417253,0.144111,-2.914531,1.932016,0.001872583727615244,12.91
sh.600054,黄山旅游,2023,1,2023-05-29,0.015683,0.209174,1.817146,0.168111,0.388888,2.230925,0.7031003157067249,12.7
sh.600055,万东医疗,2023,1,2023-05-29,0.006587,0.116327,0.169044,0.100647,-0.174937,3.253057,0.15966142911477407,21.45
sh.600056,中国医药,2023,1,2023-05-29,0.024544,0.025584,0.065629,0.650506,-0.119054,1.854184,0.2605549639309939,13.74
sh.600057,厦门象屿,2023,1,2023-05-29,0.031709,0.005873,0.070898,0.734792,-0.199826,1.422802,0.4157881074928508,9.66
sh.600058,五矿发展,2023,1,2023-05-29,0.006093,0.001995,-0.743568,0.788346,-0.148337,2.086589,0.37582136586338294,9.43
sh.600059,古越龙山,2023,1,2023-05-29,0.010658,0.116078,-0.137157,0.138176,-0.168112,1.595803,0.07089405896274031,9.72
sh.600060,海信视像,2023,1,2023-05-29,0.034727,0.06034,0.59184,0.412736,0.163554,1.568834,0.8380303813487571,21.83
sh.600061,国投资本,2023,1,2023-05-29,0.016745,2.199845,3.97073,0.813786,55.924151,0.95013,0.16248527646642658,7.25
sh.600062,华润双鹤,2023,1,2023-05-29,0.036458,0.138975,0.102082,0.24649,0.042547,1.88207,0.27523680352710217,18.78
sh.600063,皖维高新,2023,1,2023-05-29,0.016593,0.057475,-0.70152,0.410792,0.030891,1.409086,0.11167439846477385,5.17
sh.600064,南京高科,2023,1,2023-05-29,0.037979,0.534786,-0.049361,0.507272,-0.319691,0.668379,0.011482214944017024,6.65
sh.600066,宇通客车,2023,1,2023-05-29,0.008276,0.035252,2.071161,0.497163,0.115058,1.936581,0.5086613978338107,12.82
sh.600067,冠城大通,2023,1,2023-05-29,-0.001591,0.000154,-0.994823,0.63727,-0.018882,0.541346,0.027703714398153972,2.73
sh.600070,浙江富润,2023,1,2023-05-29,-0.037201,-1.133598,0.606949,0.306587,-2.221416,1.476023,0.29962690099072387,3.44
sh.600071,凤凰光学,2023,1,2023-05-29,-0.041527,-0.067509,-0.614167,0.704573,0.0689,10.893683,0.1964109902011029,19.38
sh.600072,中船科技,2023,1,2023-05-29,0.004326,0.024824,3.541941,0.442046,-0.699309,4.218912,0.6968257090537964,23.14
sh.600073,上海梅林,2023,1,2023-05-29,0.04122,0.031022,-0.425122,0.525939,-0.055692,1.442363,0.0533723097143933,7.51
sh.600075,新疆天业,2023,1,2023-05-29,-0.003707,-0.015559,-1.143948,0.440816,0.054977,0.835456,0.0018155459730536919,5.01
sh.600076,康欣新材,2023,1,2023-05-29,-0.007554,-2.1817,0.058808,0.354019,-1.859322,0.793748,0.019478482357762783,2.72
sh.600077,宋都股份,2023,1,2023-05-29,-0.082571,-0.129696,-3.807583,0.949397,0.42654,1.316629,0.39330816551923453,0.7
sh.600078,ST澄星,2023,1,2023-05-29,0.010011,0.068242,-0.571344,0.550769,0.026491,3.131395,0.8488274037465451,9.44
sh.600079,人福医药,2023,1,2023-05-29,0.043231,0.138315,-0.17089,0.470845,-0.083215,2.691394,0.25444353455396895,25.95
sh.600080,金花股份,2023,1,2023-05-29,0.002776,0.043238,-0.495597,0.164199,-0.358029,1.686789,0.5423925763858854,7.63
sh.600081,东风科技,2023,1,2023-05-29,0.003354,0.0224,-0.633744,0.530287,0.093904,1.690324,0.10838020348459777,11.53
sh.600082,海泰发展,2023,1,2023-05-29,-0.001492,-0.118107,0.776901,0.3738,0.753098,1.12287,0.13146337010488546,3.05
sh.600083,博信股份,2023,1,2023-05-29,-0.068418,-0.089377,-1.111684,0.743009,-0.190025,19.605717,0.8452938931437584,6.72
sh.600084,中葡股份,2023,1,2023-05-29,0.009145,0.140857,7.542516,0.108251,0.266824,6.405698,0.9540332885369882,7.35
sh.600085,同仁堂,2023,1,2023-05-29,0.043404,0.16125,0.462221,0.311281,0.222713,6.746749,0.9203158807787122,60.55
sh.600088,中视传媒,2023,1,2023-05-29,0.003772,0.018403,1.078763,0.303366,-0.689747,5.508553,0.53179857687452,14.03
sh.600089,特变电工,2023,1,2023-05-29,0.079046,0.257838,0.522633,0.519421,0.24885,1.492273,0.3055564440884306,22.77
sh.600094,大名城,2023,1,2023-05-29,0.0082,0.063351,2.200769,0.633941,0.588474,0.613924,0.08160010927923214,3.08
sh.600095,湘财股份,2023,1,2023-05-29,0.012773,1.204202,3.395512,0.658409,5.32844,1.931626,0.009477097509185175,8.16
sh.600096,云天化,2023,1,2023-05-29,0.0916,0.119834,0.001536,0.640665,0.096539,1.738808,0.03532382308100859,17.03
sh.600097,开创国际,2023,1,2023-05-29,0.000181,0.010664,-0.673773,0.335161,-0.630198,1.105752,0.07260233689810265,9.57
sh.600098,广州发展,2023,1,2023-05-29,0.016526,0.040989,0.918796,0.581004,0.072909,0.955147,0.15785259900888104,6.65
sh.600099,林海股份,2023,1,2023-05-29,0.004802,0.012011,0.101128,0.355085,-0.11197,3.741988,0.5217765072051147,8.62
sh.600100,同方股份,2023,1,2023-05-29,0.01838,0.044848,1.314552,0.640019,-0.393405,1.766651,0.7178237317390956,8.0
sh.600101,明星电力,2023,1,2023-05-29,0.021489,0.088933,0.380942,0.30171,0.205532,1.438678,0.4972341893926718,9.31
sh.600103,青山纸业,2023,1,2023-05-29,0.01531,0.09068,-0.07938,0.279395,-0.118261,1.633573,0.31320489476043667,2.78
sh.600104,上汽集团,2023,1,2023-05-29,0.009927,0.029338,-0.44454,0.641434,-0.070122,0.559699,0.0,13.48
sh.600105,永鼎股份,2023,1,2023-05-29,0.008029,0.031874,0.662977,0.602752,0.066461,3.120115,0.655284243955546,6.57
sh.600106,重庆路桥,2023,1,2023-05-29,0.007298,1.140806,1.184074,0.340345,1.48762,1.314547,0.5729595641307679,4.52
sh.600107,美尔雅,2023,1,2023-05-29,-0.00762,-0.033936,-0.13067,0.521337,-0.509749,3.205068,0.19675560857078278,5.56
sh.600108,亚盛集团,2023,1,2023-05-29,0.00645,0.041922,0.04563,0.524764,0.02306,1.445042,0.45070791590605375,3.05
sh.600109,国金证券,2023,1,2023-05-29,0.019012,0.308634,3.721204,0.712613,-0.573318,1.030892,0.05698171413769142,8.78
sh.600110,诺德股份,2023,1,2023-05-29,0.007947,0.057828,-0.475663,0.446506,0.029911,1.867086,0.00385383621495941,6.8
sh.600111,北方稀土,2023,1,2023-05-29,0.045424,0.102411,-0.482891,0.324103,0.102761,4.1233,0.0480654885329894,23.68
sh.600112,ST天成,2023,1,2023-05-29,-0.318544,-0.84124,0.27688,0.935654,-0.269493,22.531934,0.9447176802055245,3.05
sh.600113,浙江东日,2023,1,2023-05-29,0.012013,0.140252,-0.68621,0.386749,0.086771,1.332456,0.09666611440419785,7.1
sh.600114,东睦股份,2023,1,2023-05-29,0.007645,0.014483,0.636841,0.557318,0.056409,1.866647,0.29553648934871296,7.67
sh.600115,中国东航,2023,1,2023-05-29,-0.140092,-0.179642,0.516387,0.909749,0.299403,4.208407,0.7401397580193563,4.76
sh.600116,三峡水利,2023,1,2023-05-29,-0.003481,-0.016871,-16.184993,0.499169,-0.157631,1.599791,0.038493324961575634,9.22
sh.600117,西宁特钢,2023,1,2023-05-29,-10000.0,-0.284267,-0.31573,0.988464,0.040708,-2.689992,0.3580686412122639,2.83
sh.600118,中国卫星,2023,1,2023-05-29,0.007932,0.049455,0.008116,0.424673,-0.414245,4.910247,0.2621677303729559,26.2
sh.600119,长江投资,2023,1,2023-05-29,-0.020435,-0.017749,0.512832,0.532444,-0.042689,11.193076,0.41190220296777136,5.92
sh.600120,浙江东方,2023,1,2023-05-29,0.013584,0.100772,3.093033,0.528815,0.18779,0.838918,0.12407983262091654,3.89
sh.600121,郑州煤电,2023,1,2023-05-29,0.038313,0.102204,0.095924,0.798634,0.094462,3.116389,0.4933713350874796,4.42
sh.600122,ST宏图,2023,1,2023-05-29,-10000.0,11.138209,163.012134,1.622378,-0.054144,-0.1607,0.17064321956517434,0.38
sh.600123,兰花科创,2023,1,2023-05-29,0.048548,0.258403,-0.128727,0.487823,0.341976,0.819158,0.31167973416581146,11.73
sh.600125,铁龙物流,2023,1,2023-05-29,0.025472,0.051732,0.371365,0.285967,-0.075179,1.162358,0.521416504637746,6.09
sh.600126,杭钢股份,2023,1,2023-05-29,0.001577,0.002586,-0.917409,0.383742,-0.023216,0.75492,0.0827912614769375,4.52
sh.600127,金健米业,2023,1,2023-05-29,0.014812,0.00863,3.004455,0.607404,-0.041403,6.707023,0.023776967395890282,7.05
sh.600128,弘业股份,2023,1,2023-05-29,0.00271,0.01633,2.173084,0.495956,-0.066532,0.95505,0.4026019962639135,8.11
sh.600129,太极集团,2023,1,2023-05-29,0.073954,0.053441,11.219093,0.783985,-0.03785,10.892323,1.0,64.36
sh.600130,波导股份,2023,1,2023-05-29,0.004544,0.066374,-0.151328,0.115778,0.362427,3.183591,0.445959258072046,4.16
sh.600131,国网信通,2023,1,2023-05-29,0.012496,0.054517,0.469334,0.515806,-0.464163,4.055721,0.20879692801108096,19.58
sh.600132,重庆啤酒,2023,1,2023-05-29,0.171987,0.193409,0.130965,0.65425,0.212843,18.479313,0.0010431404850663995,93.33
sh.600133,东湖高新,2023,1,2023-05-29,0.008332,0.029075,0.810941,0.724583,-0.326042,0.756247,0.1210708824016443,5.89
sh.600135,乐凯胶片,2023,1,2023-05-29,0.000415,0.003195,-0.834201,0.209963,-0.069711,1.494636,0.5588396664747609,7.22
sh.600136,ST明诚,2023,1,2023-05-29,-10000.0,-1.566032,-0.084388,3.204432,-0.47529,-0.280426,0.008199065530558713,2.32
sh.600137,浪莎股份,2023,1,2023-05-29,0.005469,0.04588,-0.346613,0.176744,-0.345907,2.853058,0.4466430880937442,15.5
sh.600138,中青旅,2023,1,2023-05-29,-0.000798,-0.009386,0.912501,0.533645,-0.034069,1.501045,0.49266131296430815,12.47
sh.600139,*ST西源,2023,1,2023-05-29,-10000.0,-10000.0,-10000.0,-10000.0,10000.0,10000.0,0.0,
sh.600141,兴发集团,2023,1,2023-05-29,0.021776,0.071143,-0.781444,0.482341,-0.075557,1.161338,0.012398282125973537,21.77
sh.600143,金发科技,2023,1,2023-05-29,0.017905,0.030233,-0.305165,0.675118,0.025553,1.370629,0.018421345620024253,8.68
sh.600148,长春一东,2023,1,2023-05-29,-0.021669,-0.063237,-5.604277,0.46344,0.016964,4.265675,0.4838793103047291,13.96
sh.600149,廊坊发展,2023,1,2023-05-29,-0.021413,-0.058276,0.682359,0.601934,-0.394898,13.296943,0.6021161792288353,5.55
sh.600150,中国船舶,2023,1,2023-05-29,0.000951,0.004685,-0.263537,0.699429,-0.332086,2.852071,0.8620768237409163,29.06
sh.600151,航天机电,2023,1,2023-05-29,-0.004392,-0.010295,0.071024,0.491058,-0.182889,2.411626,0.4992426404593143,8.96
sh.600152,维科技术,2023,1,2023-05-29,-0.014585,-0.094562,-3.456854,0.42911,0.373214,2.646453,0.3763448280842875,9.42
sh.600153,建发股份,2023,1,2023-05-29,0.013718,0.00525,-0.36828,0.787055,-0.071979,0.722956,0.29811314571001457,11.18
sh.600155,华创阳安,2023,1,2023-05-29,0.00692,0.182614,3.745391,0.633652,-0.355298,0.723689,0.014918289552299981,6.22
sh.600156,华升股份,2023,1,2023-05-29,0.035213,0.063836,1.237677,0.560095,-0.078139,3.814199,0.7521741133563348,4.35
sh.600157,永泰能源,2023,1,2023-05-29,0.009464,0.056433,0.426237,0.535617,0.154695,0.754142,0.13619747746584568,1.51
sh.600158,中体产业,2023,1,2023-05-29,-0.020279,-0.214234,0.098781,0.532494,-1.254653,3.933339,0.20789659418914247,10.16
sh.600159,大龙地产,2023,1,2023-05-29,0.003778,0.104806,-0.19715,0.391345,-3.666946,0.904735,0.25328618432260824,2.47
sh.600160,巨化股份,2023,1,2023-05-29,0.009814,0.03128,-0.39578,0.301529,0.056112,2.33194,0.34233672684902794,13.5
sh.600161,天坛生物,2023,1,2023-05-29,0.02934,0.277855,1.044857,0.133028,0.480423,4.99747,0.13934469070842556,27.47
sh.600162,香江控股,2023,1,2023-05-29,0.013266,0.058751,0.559722,0.700318,0.249172,0.898404,0.1577926915805252,1.85
sh.600163,中闽能源,2023,1,2023-05-29,0.046366,0.52715,-0.055166,0.475173,0.487111,1.853819,0.04760577675537419,5.88
sh.600165,宁科生物,2023,1,2023-05-29,-0.097352,-1.446263,-1.389885,0.742666,-0.928931,4.880459,0.2548757372110217,4.07
sh.600166,福田汽车,2023,1,2023-05-29,0.021902,0.019842,1.225917,0.74296,0.073077,1.824722,0.76884871290785,3.1
sh.600167,联美控股,2023,1,2023-05-29,0.063117,0.436985,0.042067,0.279252,-0.194009,1.465242,0.05061181244701144,7.21
sh.600168,武汉控股,2023,1,2023-05-29,-0.004853,-0.037563,-1.62652,0.739974,-0.154287,0.866872,0.24898609692834184,6.19
sh.600169,太原重工,2023,1,2023-05-29,0.007066,0.020049,-0.065047,0.799017,0.040943,1.610511,0.06839274932259135,2.45
sh.600170,上海建工,2023,1,2023-05-29,0.006321,0.003916,3.235997,0.847903,-0.346615,0.764759,0.015322184475088102,2.59
sh.600171,上海贝岭,2023,1,2023-05-29,0.007725,0.083184,-0.773016,0.14017,-0.249238,3.104464,0.0926917021204072,18.63
sh.600172,黄河旋风,2023,1,2023-05-29,-0.004821,-0.02803,-1.551356,0.676501,0.124686,1.80926,0.21967793916141415,4.11
sh.600173,卧龙地产,2023,1,2023-05-29,0.017733,0.040334,0.245071,0.431599,-0.024658,0.926533,0.027286267394348158,4.98
sh.600176,中国巨石,2023,1,2023-05-29,0.032863,0.258785,-0.49722,0.423277,-0.30276,1.921383,0.04046729947602163,13.66
sh.600177,雅戈尔,2023,1,2023-05-29,0.022398,0.283923,-0.562709,0.502321,-0.218493,0.803311,0.06629166610995575,6.86
sh.600178,东安动力,2023,1,2023-05-29,-0.003359,0.001319,-0.953829,0.550091,0.041459,1.125161,0.09483824789082754,5.98
sh.600179,安通控股,2023,1,2023-05-29,0.008584,0.048951,-0.842884,0.260148,0.059359,1.292093,0.8750592290187572,2.95
sh.600180,瑞茂通,2023,1,2023-05-29,0.026819,0.018893,-0.264511,0.759186,0.186512,0.840745,0.1306797564946671,6.13
sh.600182,S*ST佳通,2023,1,2023-05-29,0.025171,0.056557,4.670545,0.494109,0.117272,5.442467,0.8349400704089961,17.18
sh.600183,生益科技,2023,1,2023-05-29,0.018098,0.064594,-0.521101,0.369991,0.174544,2.541199,0.028433302504968627,15.07
sh.600184,光电股份,2023,1,2023-05-29,0.002606,0.020506,-0.676764,0.427215,-0.808529,2.478204,0.31013017431087847,12.19
sh.600185,格力地产,2023,1,2023-05-29,0.00158,0.009317,-0.928595,0.803516,3.513789,2.160885,0.3556169729429705,7.27
sh.600186,莲花健康,2023,1,2023-05-29,0.014804,0.04835,0.40646,0.510706,0.047356,3.403905,0.0496506896750541,2.7
sh.600187,国中水务,2023,1,2023-05-29,-0.005325,-0.271952,-0.747922,0.201619,0.244152,1.424991,0.5264511120781924,2.79
sh.600188,兖矿能源,2023,1,2023-05-29,0.057914,0.156248,-0.148596,0.553002,0.194081,1.7318,0.3250578257517347,30.4
sh.600189,泉阳泉,2023,1,2023-05-29,-0.012824,-0.079749,-0.63165,0.621823,0.264769,2.516019,0.2210799822786911,5.73
sh.600190,锦州港,2023,1,2023-05-29,0.003843,0.026914,-0.453192,0.602992,0.406206,0.937089,0.1451521108684955,3.13
sh.600191,华资实业,2023,1,2023-05-29,0.029451,0.340397,2.294076,0.230253,0.167721,1.779968,0.6894588665220661,5.63
sh.600192,长城电工,2023,1,2023-05-29,-0.008506,-0.033964,0.155953,0.696982,0.197065,1.574175,0.6600454212636045,5.52
sh.600193,创兴资源,2023,1,2023-05-29,0.004937,0.05332,-0.814343,0.549983,-0.997192,6.788115,0.07392981667672889,5.11
sh.600195,中牧股份,2023,1,2023-05-29,0.026199,0.125617,-0.051044,0.204193,-0.145486,2.375227,0.13562098501070666,12.63
sh.600196,复星医药,2023,1,2023-05-29,0.021939,0.1025,0.757045,0.487353,0.08033,1.845479,0.008149935099759848,31.35
sh.600197,伊力特,2023,1,2023-05-29,0.039722,0.204454,0.391299,0.209106,0.329299,3.526678,0.3587024774960825,28.08
sh.600198,大唐电信,2023,1,2023-05-29,-0.146784,-0.895013,-1.021851,0.482429,0.008761,20.379716,0.9837930849314226,6.6
sh.600199,金种子酒,2023,1,2023-05-29,-0.016305,-0.093581,-2.306685,0.263983,-0.003105,6.284231,0.7779327398523328,23.92
sh.600200,江苏吴中,2023,1,2023-05-29,0.015474,0.045084,2.930734,0.538115,-0.131276,3.020193,0.7469190895101598,7.78
sh.600201,生物股份,2023,1,2023-05-29,0.020818,0.302946,0.312632,0.154277,-0.097094,2.297352,0.10377102499302862,10.62
sh.600202,哈空调,2023,1,2023-05-29,0.008377,0.023266,0.03257,0.655618,0.289539,2.520135,0.42168040907850135,5.37
sh.600203,福日电子,2023,1,2023-05-29,-0.03243,-0.039128,-3.334569,0.693603,-0.071149,1.523102,0.20746883483336387,5.84
sh.600206,有研新材,2023,1,2023-05-29,0.01063,0.011941,-0.673299,0.313194,-0.131012,3.067916,0.1224566377585057,13.29
sh.600207,安彩高科,2023,1,2023-05-29,0.00323,0.013662,-0.212936,0.502743,-0.28702,2.014649,0.03889423369773578,5.8
sh.600208,新湖中宝,2023,1,2023-05-29,0.016941,2.230113,0.451873,0.655159,-4.432973,0.542004,0.07199360363196072,2.7
sh.600210,紫江企业,2023,1,2023-05-29,0.021309,0.059986,-0.01429,0.508901,0.075225,1.387816,0.10583585099353086,5.15
sh.600211,西藏药业,2023,1,2023-05-29,0.095416,0.336865,0.733419,0.277479,0.42311,4.320881,0.11511795488660341,58.27
sh.600212,绿能慧充,2023,1,2023-05-29,-0.00508,-0.008548,0.879037,0.762032,-0.074544,37.109686,1.0,9.91
sh.600213,亚星客车,2023,1,2023-05-29,-0.223278,-0.219412,0.225079,0.921909,0.084275,20.17095,0.6192712854513522,8.97
sh.600215,派斯林,2023,1,2023-05-29,0.02799,0.118878,1.090791,0.544582,-0.199478,1.889665,0.3534314825130863,6.89
sh.600216,浙江医药,2023,1,2023-05-29,0.01217,0.04187,-0.608683,0.213087,0.009928,1.1867,0.0022334134606668853,11.56
sh.600217,中再资环,2023,1,2023-05-29,-0.00298,-0.011212,-1.507515,0.648422,-0.108904,2.815747,0.12538835819606922,5.13
sh.600218,全柴动力,2023,1,2023-05-29,0.010281,0.019393,-0.059577,0.472668,-0.137966,1.178554,0.07583878694909431,8.47
sh.600219,南山铝业,2023,1,2023-05-29,0.011421,0.081564,-0.320601,0.220916,0.045324,0.777647,0.15501088260116375,3.04
sh.600220,江苏阳光,2023,1,2023-05-29,-0.000907,-0.002865,-1.063557,0.480088,-0.065872,1.954891,0.0867653918565768,2.36
sh.600221,海航控股,2023,1,2023-05-29,0.090875,0.00659,1.022176,0.988976,0.208015,30.268229,0.5649382608684941,1.62
sh.600222,太龙药业,2023,1,2023-05-29,0.002358,0.005869,0.517782,0.55309,-0.164671,2.242523,0.2805364560839887,6.07
sh.600223,鲁商发展,2023,1,2023-05-29,0.034202,0.121096,1.319984,0.633814,0.074239,2.746071,0.2543931799159948,10.39
sh.600225,卓朗科技,2023,1,2023-05-29,-0.001531,-0.335087,0.778487,0.650106,0.711466,6.482081,0.5927500376321093,4.17
sh.600226,ST瀚叶,2023,1,2023-05-29,0.013814,0.325467,-0.873911,0.074184,-0.186984,2.503045,0.6057651777412983,2.52
sh.600227,圣济堂,2023,1,2023-05-29,-0.012489,-0.072485,0.590016,0.39628,-0.099843,1.619976,0.36583605851034345,2.64
sh.600228,返利科技,2023,1,2023-05-29,-0.000296,-0.004298,0.944346,0.151475,-0.131102,7.59263,0.005081693593178485,11.77
sh.600229,城市传媒,2023,1,2023-05-29,0.031776,0.151269,0.108816,0.258178,-0.160386,1.867469,0.502419891981139,8.61
sh.600230,沧州大化,2023,1,2023-05-29,0.018034,0.063015,-0.26309,0.393973,0.03723,1.50295,0.3112665532983095,14.43
sh.600231,凌钢股份,2023,1,2023-05-29,0.005629,0.008314,-0.636547,0.545555,0.00785,0.769715,0.19616472051311126,2.2
sh.600232,金鹰股份,2023,1,2023-05-29,0.007909,0.031268,-0.413868,0.311796,-0.324307,1.82155,0.3181235300488953,5.33
sh.600233,圆通速递,2023,1,2023-05-29,0.033388,0.071302,0.031423,0.302709,0.103134,2.006263,0.20133517950260596,16.08
sh.600234,科新发展,2023,1,2023-05-29,-0.008411,-0.438053,0.742094,0.253217,0.641026,2.697771,0.010437289045269957,6.11
sh.600235,民丰特纸,2023,1,2023-05-29,0.002396,0.008837,-0.786888,0.355424,0.02531,1.335619,0.25135186073344473,5.36
sh.600236,桂冠电力,2023,1,2023-05-29,0.015443,0.171662,-0.61234,0.499316,0.661217,2.730978,0.2495908905536872,5.96
sh.600237,铜峰电子,2023,1,2023-05-29,0.018049,0.080892,0.017177,0.326467,-0.099145,3.196565,0.456680298089401,7.06
sh.600238,海南椰岛,2023,1,2023-05-29,-0.038767,-0.203265,-1.530701,0.659316,-0.068857,13.237273,0.4362658031806349,10.66
sh.600239,ST云城,2023,1,2023-05-29,0.099244,0.387609,1.357436,0.798151,0.960312,2.137136,0.444478363473393,2.16
sh.600241,ST时万,2023,1,2023-05-29,0.011618,0.080882,-0.520107,0.257875,-0.346236,2.547801,0.7187049632944484,9.39
sh.600242,*ST中昌,2023,1,2023-05-29,-10000.0,-0.402186,0.594237,1.922025,-0.60196,-0.811047,0.43924788872466214,0.45
sh.600243,青海华鼎,2023,1,2023-05-29,-0.017749,-0.252498,-0.58537,0.261745,-0.272805,2.161493,0.6895631252076679,4.32
sh.600246,万通发展,2023,1,2023-05-29,-0.004527,-0.219964,0.25288,0.334968,0.007544,1.751114,0.017830476457899976,5.11
sh.600248,陕西建工,2023,1,2023-05-29,0.034111,0.027636,0.059529,0.883171,-0.112336,0.982293,0.03609310014207465,5.03
sh.600249,两面针,2023,1,2023-05-29,0.002187,0.024844,1.157289,0.164315,-0.094214,1.392248,0.5370358797290857,5.32
sh.600250,南纺股份,2023,1,2023-05-29,0.01174,0.090939,1.478723,0.563117,0.087869,3.233652,0.7349707316456444,5.79
sh.600251,冠农股份,2023,1,2023-05-29,0.088198,0.227222,0.749428,0.429057,0.373426,1.941079,0.08445691737181488,8.65
sh.600252,中恒集团,2023,1,2023-05-29,-0.002635,-0.043314,-1.50603,0.295273,0.115887,1.343784,0.01932731648616111,2.51
sh.600255,鑫科材料,2023,1,2023-05-29,-0.006161,-0.010184,-1.40861,0.530633,-0.043846,2.652031,0.3209275453838544,2.06
sh.600256,广汇能源,2023,1,2023-05-29,0.098953,0.1498,0.358577,0.49528,0.108445,1.524621,0.18301750919136864,7.41
