编码,名称,年份,季度,日期,ROE,净利润率,净利润同比增长率,资产负债率,现金流比率,市净率,市净率相对值,股价
sz.300900,广联航空,2023,1,2023-05-29,0.015223,0.202394,0.250916,0.496304,-0.259313,3.797996,0.059201616627415216,28.78
sz.300901,中胤时尚,2023,1,2023-05-29,0.007,0.07151,-0.310931,0.105879,-0.059818,2.596719,0.03668274486534987,11.31
sz.300902,国安达,2023,1,2023-05-29,-0.007123,-0.15801,-1.742103,0.102783,-1.114939,5.635873,0.12568505080167108,34.65
sz.300903,科翔股份,2023,1,2023-05-29,-0.015275,-0.060897,-3.063349,0.634143,-0.000692,1.872362,0.014957899683245086,10.52
sz.300905,宝丽迪,2023,1,2023-05-29,0.010057,0.070045,-0.336196,0.104927,0.119927,1.893552,0.010572262341263097,16.96
sz.300906,日月明,2023,1,2023-05-29,0.013352,0.615478,0.041082,0.079352,-0.246783,2.351217,0.024872465346250684,24.55
sz.300907,康平科技,2023,1,2023-05-29,0.009156,0.03055,0.334113,0.37159,0.07734,2.524795,0.028588349232459512,19.8
sz.300908,仲景食品,2023,1,2023-05-29,0.024067,0.175168,1.33483,0.091396,-0.255923,2.901703,0.04311877713673942,47.7
sz.300909,汇创达,2023,1,2023-05-29,0.007404,0.040113,-0.66605,0.425989,0.172577,3.325045,0.03407868804441504,27.44
sz.300910,瑞丰新材,2023,1,2023-05-29,0.034589,0.156415,0.894143,0.133304,0.000292,5.953283,0.2334808163241606,59.75
sz.300911,亿田智能,2023,1,2023-05-29,0.029834,0.178165,-0.086721,0.262953,0.14107,2.729729,0.0026628284933013107,35.19
sz.300912,凯龙高科,2023,1,2023-05-29,0.000198,0.000496,-0.982119,0.533592,-0.182219,2.9946,0.21770977345440326,20.66
sz.300913,兆龙互连,2023,1,2023-05-29,0.015994,0.047974,-0.251431,0.153229,0.003915,6.760196,0.2596302521673068,36.53
sz.300915,海融科技,2023,1,2023-05-29,0.01605,0.09788,-0.270069,0.120709,-0.073791,2.32477,0.012940921789116534,38.14
sz.300916,朗特智能,2023,1,2023-05-29,0.001578,0.011049,-0.900622,0.233371,-0.441776,3.820284,0.06874909767595803,46.0
sz.300917,特发服务,2023,1,2023-05-29,0.034654,0.063948,0.06758,0.368134,0.014759,4.0184,0.05004480405281296,23.2
sz.300918,南山智尚,2023,1,2023-05-29,0.017592,0.098562,0.133745,0.41874,-0.309581,2.409167,0.1966351388945084,12.3
sz.300919,中伟股份,2023,1,2023-05-29,0.020396,0.046273,0.440015,0.612755,-0.112289,2.329949,0.0013668397783656906,58.76
sz.300920,润阳科技,2023,1,2023-05-29,-0.002726,-0.049058,-1.186061,0.105215,-0.063785,1.4865,0.015241675411783779,16.82
sz.300921,南凌科技,2023,1,2023-05-29,0.010783,0.059642,-0.362183,0.142819,0.147151,3.760681,0.06587764364044953,24.03
sz.300922,天秦装备,2023,1,2023-05-29,0.009131,0.290431,-0.197879,0.050698,0.365955,3.647896,0.11107231596779046,20.33
sz.300923,研奥股份,2023,1,2023-05-29,0.005848,0.086501,-0.387135,0.15899,-0.614295,1.495195,0.036016567876287896,22.06
sz.300925,法本信息,2023,1,2023-05-29,0.019067,0.032481,0.089072,0.410959,-0.208715,4.002115,0.08960929275150069,14.57
sz.300926,博俊科技,2023,1,2023-05-29,0.026652,0.083404,0.957466,0.611509,0.174202,3.858644,0.23677162316380274,18.12
sz.300927,江天化学,2023,1,2023-05-29,0.035193,0.119178,-0.039521,0.194592,0.100331,3.543564,0.038305293739175794,16.2
sz.300928,华安鑫创,2023,1,2023-05-29,0.004438,0.015343,-0.074717,0.058754,-0.107648,2.258386,0.01970057444686506,36.71
sz.300929,华骐环保,2023,1,2023-05-29,0.005247,0.052028,-0.729626,0.515082,-0.081416,1.837154,0.014758601681289917,11.77
sz.300930,屹通新材,2023,1,2023-05-29,0.017673,0.14772,-0.474882,0.081351,-0.028572,3.021278,0.04083266418916417,24.6
sz.300931,通用电梯,2023,1,2023-05-29,-0.00397,-0.044291,0.834747,0.332095,-0.325225,2.550592,0.07050436168907746,7.34
sz.300932,三友联众,2023,1,2023-05-29,0.003934,0.013186,-0.670959,0.375783,-0.032593,1.612014,0.022811219861145433,15.55
sz.300933,中辰股份,2023,1,2023-05-29,0.010594,0.033124,-0.149973,0.531594,-0.273087,2.519582,0.06928865526819711,7.87
sz.300935,盈建科,2023,1,2023-05-29,-0.017866,-0.729472,-1.17915,0.045241,-0.968324,2.767672,0.017258408138674144,31.63
sz.300936,中英科技,2023,1,2023-05-29,0.007868,0.110646,-0.03489,0.116637,-0.207103,2.711089,0.04919867641749324,32.32
sz.300937,药易购,2023,1,2023-05-29,0.038162,0.0263,2.979812,0.474603,-0.104409,3.581251,0.036698150276640876,31.59
sz.300938,信测标准,2023,1,2023-05-29,0.02749,0.228727,0.506328,0.174555,0.197998,4.041744,0.11132728461465399,41.34
sz.300939,秋田微,2023,1,2023-05-29,0.024396,0.130659,0.220867,0.174436,0.068404,3.134483,0.0178874578862692,34.42
sz.300940,南极光,2023,1,2023-05-29,-0.037637,-0.320824,-3.573989,0.349626,-0.14578,4.21659,0.022490563897845352,17.52
sz.300941,创识科技,2023,1,2023-05-29,0.012141,0.296441,-0.103764,0.060705,-1.427809,3.382576,0.018207326120521394,20.97
sz.300942,易瑞生物,2023,1,2023-05-29,-0.029448,-0.462634,-1.246151,0.217939,-0.889357,5.83653,0.020556442756243118,13.7
